id,location,shift_type,day_of_week,start_time,end_time,break_start,break_end,total_hours,required_gender,required_skills,region,emp_count,allocation_priority,active
1,Birchwood Road No. 1,DAY,MONDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
2,Birchwood Road No. 1,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
3,Birchwood Road No. 1,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
4,Birchwood Road No. 1,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
5,Birchwood Road No. 1,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
6,Birchwood Road No. 1,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
7,Birchwood Road No. 1,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
8,Birchwood Road No. 1,WAKING_NIGHT,MONDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
9,Birchwood Road No. 1,WAKING_NIGHT,TUESDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
10,Birchwood Road No. 1,WAKING_NIGHT,WEDNESDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
11,Birchwood Road No. 1,WAKING_NIGHT,THURSDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
12,Birchwood Road No. 1,WAKING_NIGHT,FRIDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
13,Birchwood Road No. 1,WAKING_NIGHT,SATURDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
14,Birchwood Road No. 1,WAKING_NIGHT,SUNDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
15,Oakfield Court No. 3,DAY,MONDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
16,Oakfield Court No. 3,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
17,Oakfield Court No. 3,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
18,Oakfield Court No. 3,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,MALE,BUCCAL,BARNET,1,10,t
19,Oakfield Court No. 3,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
20,Oakfield Court No. 3,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
21,Oakfield Court No. 3,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
22,Oakfield Court No. 3,WAKING_NIGHT,MONDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
23,Oakfield Court No. 3,WAKING_NIGHT,TUESDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
24,Oakfield Court No. 3,WAKING_NIGHT,WEDNESDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
25,Oakfield Court No. 3,WAKING_NIGHT,THURSDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
26,Oakfield Court No. 3,WAKING_NIGHT,FRIDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
